id,ShipName,MMSI,ShipTypeCN,NavStausCN,Length,Width,Draught,Heading,Course,Speed,Lon,Lat,Rot,Dest,ETA,Receivedtime,UnixTime,Lon_d,Lat_d,AisType,traceNum,currentPlon,currentPlat
1,HAPPY RANGER,245539000,货船,在航,138,23,7.9,30,28.7,13.5,119°32.535′E,22°51.988′N,0,PEMBA,2021/4/9 8:00,2019/3/31 0:32,1553963568,119.542,22.8665,岸基,245539000_0,119.54225,22.86646667
2,HAPPY RANGER,245539000,货船,在航,138,23,7.9,30,29.2,13.9,119°34.430′E,22°55.072′N,0,PEMBA,2021/4/9 8:00,2019/3/31 0:48,1553964498,119.574,22.9179,岸基,245539000_0,119.5738333,22.91786667
3,HAPPY RANGER,245539000,货船,在航,138,23,7.9,28,27.8,14,119°36.591′E,22°58.848′N,0,PEMBA,2021/4/9 8:00,2019/3/31 1:06,1553965587,119.61,22.9808,岸基,245539000_0,119.60985,22.9808
4,HAPPY RANGER,245539000,货船,在航,138,23,7.9,28,27.9,14.4,119°38.402′E,23°2.086′N,0,PEMBA,2021/4/9 8:00,2019/3/31 1:21,1553966510,119.64,23.0348,岸基,245539000_0,119.6400333,23.03476667
5,HAPPY RANGER,245539000,货船,在航,138,23,7.9,28,29.6,14.1,119°41.258′E,23°6.957′N,0,PEMBA,2021/4/9 8:00,2019/3/31 1:45,1553967921,119.688,23.1159,岸基,245539000_0,119.6876333,23.11595
6,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,24.8,14.4,119°43.690′E,23°11.415′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:06,1553969183,119.728,23.1903,岸基,245539000_0,119.7281667,23.19025
7,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,25.1,14.4,119°43.720′E,23°11.478′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:06,1553969198,119.729,23.1913,岸基,245539000_0,119.7286667,23.1913
8,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,22.5,15.1,119°45.622′E,23°15.443′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:24,1553970249,119.76,23.2574,岸基,245539000_0,119.7603667,23.25738333
9,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,20.6,14.6,119°47.999′E,23°21.071′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:48,1553971724,119.8,23.3512,岸基,245539000_0,119.7999833,23.35118333
10,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,20.4,14.5,119°48.028′E,23°21.142′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:49,1553971743,119.8,23.3524,岸基,245539000_0,119.8004667,23.35236667
11,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,20.8,14.5,119°48.058′E,23°21.214′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:49,1553971761,119.801,23.3536,岸基,245539000_0,119.8009667,23.35356667
12,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,20.8,14.4,119°48.058′E,23°21.214′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:49,1553971763,119.801,23.3536,岸基,245539000_0,119.8009667,23.35356667
13,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,21.5,14.5,119°48.083′E,23°21.275′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:49,1553971778,119.801,23.3546,岸基,245539000_0,119.8013833,23.35458333
14,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,21.5,14.5,119°48.094′E,23°21.301′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:49,1553971784,119.802,23.355,岸基,245539000_0,119.8015667,23.35501667
15,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,21.1,14.5,119°48.102′E,23°21.320′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:49,1553971790,119.802,23.3553,岸基,245539000_0,119.8017,23.35533333
16,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,21.1,14.4,119°48.102′E,23°21.320′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:49,1553971792,119.802,23.3553,岸基,245539000_0,119.8017,23.35533333
17,HAPPY RANGER,245539000,货船,在航,138,23,7.9,23,21,14.5,119°48.131′E,23°21.388′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:50,1553971808,119.802,23.3565,岸基,245539000_0,119.8021833,23.35646667
18,HAPPY RANGER,245539000,货船,在航,138,23,7.9,23,21,14.4,119°48.131′E,23°21.388′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:50,1553971810,119.802,23.3565,岸基,245539000_0,119.8021833,23.35646667
19,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,21,14.5,119°48.151′E,23°21.437′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:50,1553971821,119.803,23.3573,岸基,245539000_0,119.8025167,23.35728333
20,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,21,14.4,119°48.151′E,23°21.437′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:50,1553971822,119.803,23.3573,岸基,245539000_0,119.8025167,23.35728333
21,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,21.1,14.4,119°48.159′E,23°21.456′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:50,1553971827,119.803,23.3576,岸基,245539000_0,119.80265,23.3576
22,HAPPY RANGER,245539000,货船,在航,138,23,7.9,24,21.1,14.4,119°48.159′E,23°21.456′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:50,1553971828,119.803,23.3576,岸基,245539000_0,119.80265,23.3576
23,HAPPY RANGER,245539000,货船,在航,138,23,7.9,23,21.4,14.5,119°48.179′E,23°21.500′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:50,1553971838,119.803,23.3583,岸基,245539000_0,119.8029833,23.35833333
24,HAPPY RANGER,245539000,货船,在航,138,23,7.9,23,21.4,14.4,119°48.179′E,23°21.500′N,0,PEMBA,2021/4/9 8:00,2019/3/31 2:50,1553971841,119.803,23.3583,岸基,245539000_0,119.8029833,23.35833333
